EmojiA,EmojiB,Count,Combined,is_double,
🪨,♥️,2074,🪨♥️,FALSE,0.64%
🥰,🥹,1417,🥰🥹,FALSE,0.43%
😍,🥹,1013,😍🥹,FALSE,0.31%
😍,🫠,850,😍🫠,FALSE,0.26%
😍,🥰,677,😍🥰,FALSE,0.21%
🥰,🫠,648,🥰🫠,FALSE,0.20%
🐢,🐸,630,🐢🐸,FALSE,0.19%
😍,🤤,623,😍🤤,FALSE,0.19%
😳,😳,615,😳😳,TRUE,0.19%
🎧,😭,593,🎧😭,FALSE,0.18%
😭,🥹,579,😭🥹,FALSE,0.18%
😍,😘,563,😍😘,FALSE,0.17%
🥵,🫦,554,🥵🫦,FALSE,0.17%
😘,🥰,545,😘🥰,FALSE,0.17%
😍,🫦,545,😍🫦,FALSE,0.17%
😩,🫦,526,😩🫦,FALSE,0.16%
🥹,🫠,526,🥹🫠,FALSE,0.16%
😈,🥵,512,😈🥵,FALSE,0.16%
👑,💎,510,👑💎,FALSE,0.16%
🥵,🥶,450,🥵🥶,FALSE,0.14%
🍓,🍞,435,🍓🍞,FALSE,0.13%
🥰,🥰,432,🥰🥰,TRUE,0.13%
🥹,🥹,431,🥹🥹,TRUE,0.13%
💀,🫦,418,💀🫦,FALSE,0.13%
🤣,🤣,416,🤣🤣,TRUE,0.13%
💩,💩,415,💩💩,TRUE,0.13%
👻,💩,411,👻💩,FALSE,0.13%
🤤,🥵,408,🤤🥵,FALSE,0.13%
🤠,🤠,404,🤠🤠,TRUE,0.12%
🍞,🐱,403,🍞🐱,FALSE,0.12%
🔥,♥️,402,🔥♥️,FALSE,0.12%
🤤,🫦,401,🤤🫦,FALSE,0.12%
💩,🤡,399,💩🤡,FALSE,0.12%
🥺,🥺,395,🥺🥺,TRUE,0.12%
😍,🥺,393,😍🥺,FALSE,0.12%
🥹,🥺,382,🥹🥺,FALSE,0.12%
🫠,🫠,381,🫠🫠,TRUE,0.12%
🐝,🦈,375,🐝🦈,FALSE,0.12%
🥲,🥹,370,🥲🥹,FALSE,0.11%
😫,😫,368,😫😫,TRUE,0.11%
🌹,💐,367,🌹💐,FALSE,0.11%
🌭,🍌,361,🌭🍌,FALSE,0.11%
🥰,🥺,360,🥰🥺,FALSE,0.11%
🌛,🌜,358,🌛🌜,FALSE,0.11%
🤔,🥺,357,🤔🥺,FALSE,0.11%
🐢,🐱,353,🐢🐱,FALSE,0.11%
😈,🤤,353,😈🤤,FALSE,0.11%
🍞,🥑,351,🍞🥑,FALSE,0.11%
😏,😏,349,😏😏,TRUE,0.11%
🌈,🦄,347,🌈🦄,FALSE,0.11%
💩,🔥,345,💩🔥,FALSE,0.11%
🔥,😍,344,🔥😍,FALSE,0.11%
😭,🤣,340,😭🤣,FALSE,0.10%
🫠,❤️,340,🫠❤️,FALSE,0.10%
😭,🥺,334,😭🥺,FALSE,0.10%
🐱,💞,324,🐱💞,FALSE,0.10%
🩷,🫠,321,🩷🫠,FALSE,0.10%
🍄,🐸,319,🍄🐸,FALSE,0.10%
🎃,👻,318,🎃👻,FALSE,0.10%
🔥,😈,315,🔥😈,FALSE,0.10%
😭,😭,314,😭😭,TRUE,0.10%
🐢,🐷,311,🐢🐷,FALSE,0.10%
😘,🥹,303,😘🥹,FALSE,0.09%
😏,🫦,301,😏🫦,FALSE,0.09%
😍,🥵,300,😍🥵,FALSE,0.09%
🥹,🫦,299,🥹🫦,FALSE,0.09%
🤤,🥰,299,🤤🥰,FALSE,0.09%
🌹,🐶,298,🌹🐶,FALSE,0.09%
🌍,♥️,291,🌍♥️,FALSE,0.09%
🎧,🥹,288,🎧🥹,FALSE,0.09%
🌼,💐,286,🌼💐,FALSE,0.09%
🦊,🦊,285,🦊🦊,TRUE,0.09%
🌹,😁,282,🌹😁,FALSE,0.09%
🌜,🌞,278,🌜🌞,FALSE,0.09%
🐸,🥑,276,🐸🥑,FALSE,0.08%
🐰,🐰,272,🐰🐰,TRUE,0.08%
👻,😈,272,👻😈,FALSE,0.08%
😈,😍,268,😈😍,FALSE,0.08%
😇,😈,267,😇😈,FALSE,0.08%
🩷,🫥,260,🩷🫥,FALSE,0.08%
🐱,🐸,259,🐱🐸,FALSE,0.08%
😂,😭,255,😂😭,FALSE,0.08%
🐢,🤠,254,🐢🤠,FALSE,0.08%
🐐,💞,251,🐐💞,FALSE,0.08%
🐢,💩,247,🐢💩,FALSE,0.08%
💐,💩,246,💐💩,FALSE,0.08%
🥵,🫠,244,🥵🫠,FALSE,0.07%
💎,♥️,239,💎♥️,FALSE,0.07%
😶‍🌫️,🥹,237,😶‍🌫️🥹,FALSE,0.07%
🐙,☕,233,🐙☕,FALSE,0.07%
🤭,🥰,232,🤭🥰,FALSE,0.07%
🤤,🫠,231,🤤🫠,FALSE,0.07%
😶‍🌫️,🫥,231,😶‍🌫️🫥,FALSE,0.07%
🌈,💩,230,🌈💩,FALSE,0.07%
🐸,🫦,230,🐸🫦,FALSE,0.07%
🌈,🩷,225,🌈🩷,FALSE,0.07%
🎧,🫦,225,🎧🫦,FALSE,0.07%
😍,🥴,225,😍🥴,FALSE,0.07%
😈,😏,224,😈😏,FALSE,0.07%
🍌,🥵,223,🍌🥵,FALSE,0.07%
🥴,🫦,222,🥴🫦,FALSE,0.07%
🤢,🤮,221,🤢🤮,FALSE,0.07%
🐦,💩,221,🐦💩,FALSE,0.07%
🌷,💐,221,🌷💐,FALSE,0.07%
😶‍🌫️,🥰,220,😶‍🌫️🥰,FALSE,0.07%
💋,🫦,219,💋🫦,FALSE,0.07%
🐝,🐢,217,🐝🐢,FALSE,0.07%
🐯,🐱,217,🐯🐱,FALSE,0.07%
🐢,🦄,217,🐢🦄,FALSE,0.07%
🌹,💩,216,🌹💩,FALSE,0.07%
💩,🕳️,215,💩🕳️,FALSE,0.07%
👁️,👁️,215,👁️👁️,TRUE,0.07%
🐧,🐱,215,🐧🐱,FALSE,0.07%
😎,😭,214,😎😭,FALSE,0.07%
😍,😭,213,😍😭,FALSE,0.07%
😭,🥰,210,😭🥰,FALSE,0.06%
😡,😭,209,😡😭,FALSE,0.06%
🥰,🥵,209,🥰🥵,FALSE,0.06%
😈,🤡,208,😈🤡,FALSE,0.06%
🐱,💐,205,🐱💐,FALSE,0.06%
😏,🤤,205,😏🤤,FALSE,0.06%
💩,🫠,204,💩🫠,FALSE,0.06%
🍌,🐱,201,🍌🐱,FALSE,0.06%
👽,💩,201,👽💩,FALSE,0.06%
🍓,🎂,200,🍓🎂,FALSE,0.06%
😭,🫠,200,😭🫠,FALSE,0.06%
🕷️,🪿,199,🕷️🪿,FALSE,0.06%
🤩,🥹,198,🤩🥹,FALSE,0.06%
🪵,♥️,198,🪵♥️,FALSE,0.06%
🐢,🤡,196,🐢🤡,FALSE,0.06%
🥰,🥳,196,🥰🥳,FALSE,0.06%
🔥,🩷,196,🔥🩷,FALSE,0.06%
😘,😡,195,😘😡,FALSE,0.06%
😈,😈,195,😈😈,TRUE,0.06%
🌹,🐢,194,🌹🐢,FALSE,0.06%
🐱,🥺,193,🐱🥺,FALSE,0.06%
🐢,😎,190,🐢😎,FALSE,0.06%
🐱,🫦,189,🐱🫦,FALSE,0.06%
🎃,🐸,188,🎃🐸,FALSE,0.06%
🍽️,💩,188,🍽️💩,FALSE,0.06%
🥵,🥺,187,🥵🥺,FALSE,0.06%
🐧,🪿,186,🐧🪿,FALSE,0.06%
🍄,🐱,186,🍄🐱,FALSE,0.06%
💀,🪨,186,💀🪨,FALSE,0.06%
👾,❤️,185,👾❤️,FALSE,0.06%
🍄,🥸,185,🍄🥸,FALSE,0.06%
🐢,🐢,183,🐢🐢,TRUE,0.06%
🐢,💞,182,🐢💞,FALSE,0.06%
🍞,💩,182,🍞💩,FALSE,0.06%
🤔,🤔,182,🤔🤔,TRUE,0.06%
🌹,😍,181,🌹😍,FALSE,0.06%
🌸,🦄,181,🌸🦄,FALSE,0.06%
🐶,💩,180,🐶💩,FALSE,0.06%
😡,🥰,180,😡🥰,FALSE,0.06%
😎,🫦,179,😎🫦,FALSE,0.05%
💩,😭,179,💩😭,FALSE,0.05%
🔥,⛄,178,🔥⛄,FALSE,0.05%
♥️,♥️,178,♥️♥️,TRUE,0.05%
👻,🤡,176,👻🤡,FALSE,0.05%
🎧,🐢,176,🎧🐢,FALSE,0.05%
🥹,♥️,175,🥹♥️,FALSE,0.05%
🤍,🩷,175,🤍🩷,FALSE,0.05%
🏆,⚽,175,🏆⚽,FALSE,0.05%
💩,🤮,174,💩🤮,FALSE,0.05%
😈,😎,174,😈😎,FALSE,0.05%
💋,♥️,174,💋♥️,FALSE,0.05%
💩,😘,174,💩😘,FALSE,0.05%
😁,🥹,173,😁🥹,FALSE,0.05%
🌈,🌊,173,🌈🌊,FALSE,0.05%
😈,🥰,173,😈🥰,FALSE,0.05%
🐸,💞,171,🐸💞,FALSE,0.05%
🌹,🔥,171,🌹🔥,FALSE,0.05%
🌧️,💩,170,🌧️💩,FALSE,0.05%
🐷,🔥,170,🐷🔥,FALSE,0.05%
😎,🤠,169,😎🤠,FALSE,0.05%
😈,🫦,169,😈🫦,FALSE,0.05%
🔥,🥰,168,🔥🥰,FALSE,0.05%
💀,🤡,168,💀🤡,FALSE,0.05%
💀,🔥,168,💀🔥,FALSE,0.05%
🐸,🦈,168,🐸🦈,FALSE,0.05%
🐧,🦈,168,🐧🦈,FALSE,0.05%
💩,🥰,167,💩🥰,FALSE,0.05%
🎧,💀,167,🎧💀,FALSE,0.05%
🐼,🥰,167,🐼🥰,FALSE,0.05%
🐧,🐵,167,🐧🐵,FALSE,0.05%
😡,🥹,166,😡🥹,FALSE,0.05%
💩,🥵,166,💩🥵,FALSE,0.05%
👽,👾,166,👽👾,FALSE,0.05%
😏,🥵,166,😏🥵,FALSE,0.05%
💀,😭,165,💀😭,FALSE,0.05%
💞,🦈,165,💞🦈,FALSE,0.05%
🎧,🐱,164,🎧🐱,FALSE,0.05%
🌈,🐸,164,🌈🐸,FALSE,0.05%
🌈,🌪️,163,🌈🌪️,FALSE,0.05%
🌇,🍄,163,🌇🍄,FALSE,0.05%
😘,🥺,162,😘🥺,FALSE,0.05%
😭,🙂,161,😭🙂,FALSE,0.05%
🥴,🥵,161,🥴🥵,FALSE,0.05%
