Codepoint,Emoji
u00a9-ufe0f,©️
u00ae-ufe0f,®️
u1f004,🀄
u1f0cf,🃏
u1f192,🆒
u1f193,🆓
u1f195,🆕
u1f197,🆗
u1f198,🆘
u1f199,🆙
u1f300,🌀
u1f304,🌄
u1f307,🌇
u1f308,🌈
u1f30a,🌊
u1f30b,🌋
u1f30c,🌌
u1f30d,🌍
u1f31a,🌚
u1f31c,🌜
u1f31d,🌝
u1f31e,🌞
u1f31f,🌟
u1f321-ufe0f,🌡️
u1f327-ufe0f,🌧️
u1f329-ufe0f,🌩️
u1f32a-ufe0f,🌪️
u1f32c-ufe0f,🌬️
u1f32d,🌭
u1f32e,🌮
u1f32f,🌯
u1f330,🌰
u1f331,🌱
u1f332,🌲
u1f333,🌳
u1f334,🌴
u1f335,🌵
u1f336-ufe0f,🌶️
u1f337,🌷
u1f338,🌸
u1f339,🌹
u1f33a,🌺
u1f33b,🌻
u1f33c,🌼
u1f33d,🌽
u1f33e,🌾
u1f33f,🌿
u1f340,🍀
u1f341,🍁
u1f342,🍂
u1f343,🍃
u1f344,🍄
u1f345,🍅
u1f347,🍇
u1f348,🍈
u1f349,🍉
u1f34a,🍊
u1f34b,🍋
u1f34c,🍌
u1f34d,🍍
u1f34e,🍎
u1f350,🍐
u1f352,🍒
u1f353,🍓
u1f354,🍔
u1f355,🍕
u1f356,🍖
u1f357,🍗
u1f358,🍘
u1f359,🍙
u1f35a,🍚
u1f35b,🍛
u1f35c,🍜
u1f35d,🍝
u1f35e,🍞
u1f35f,🍟
u1f360,🍠
u1f361,🍡
u1f362,🍢
u1f363,🍣
u1f364,🍤
u1f365,🍥
u1f366,🍦
u1f367,🍧
u1f368,🍨
u1f369,🍩
u1f36a,🍪
u1f36b,🍫
u1f36c,🍬
u1f36d,🍭
u1f36e,🍮
u1f36f,🍯
u1f370,🍰
u1f371,🍱
u1f372,🍲
u1f373,🍳
u1f375,🍵
u1f376,🍶
u1f377,🍷
u1f379,🍹
u1f37c,🍼
u1f37d-ufe0f,🍽️
u1f37e,🍾
u1f37f,🍿
u1f380,🎀
u1f381,🎁
u1f382,🎂
u1f383,🎃
u1f386,🎆
u1f388,🎈
u1f38a,🎊
u1f393,🎓
u1f399-ufe0f,🎙️
u1f39e-ufe0f,🎞️
u1f39f-ufe0f,🎟️
u1f3a0,🎠
u1f3a1,🎡
u1f3a2,🎢
u1f3a3,🎣
u1f3a4,🎤
u1f3a7,🎧
u1f3a8,🎨
u1f3aa,🎪
u1f3ac,🎬
u1f3ad,🎭
u1f3ae,🎮
u1f3af,🎯
u1f3b0,🎰
u1f3b1,🎱
u1f3b2,🎲
u1f3b3,🎳
u1f3b6,🎶
u1f3b7,🎷
u1f3b8,🎸
u1f3b9,🎹
u1f3ba,🎺
u1f3bb,🎻
u1f3be,🎾
u1f3bf,🎿
u1f3c0,🏀
u1f3c6,🏆
u1f3c8,🏈
u1f3c9,🏉
u1f3cd-ufe0f,🏍️
u1f3ce-ufe0f,🏎️
u1f3cf,🏏
u1f3d0,🏐
u1f3d1,🏑
u1f3d2,🏒
u1f3d3,🏓
u1f3d4-ufe0f,🏔️
u1f3d5-ufe0f,🏕️
u1f3d6-ufe0f,🏖️
u1f3da-ufe0f,🏚️
u1f3db-ufe0f,🏛️
u1f3dd-ufe0f,🏝️
u1f3de-ufe0f,🏞️
u1f3df-ufe0f,🏟️
u1f3e0,🏠
u1f3f0,🏰
u1f3f5-ufe0f,🏵️
u1f3f8,🏸
u1f3fa,🏺
u1f409,🐉
u1f40c,🐌
u1f40d,🐍
u1f40e,🐎
u1f410,🐐
u1f414,🐔
u1f418,🐘
u1f419,🐙
u1f41a,🐚
u1f41d,🐝
u1f41e,🐞
u1f41f,🐟
u1f422,🐢
u1f426,🐦
u1f427,🐧
u1f428,🐨
u1f429,🐩
u1f42d,🐭
u1f42e,🐮
u1f42f,🐯
u1f430,🐰
u1f431,🐱
u1f433,🐳
u1f435,🐵
u1f436,🐶
u1f437,🐷
u1f438,🐸
u1f43a,🐺
u1f43b,🐻
u1f43c,🐼
u1f43e,🐾
u1f440,👀
u1f441-ufe0f,👁️
u1f44a,👊
u1f44d,👍
u1f451,👑
u1f455,👕
u1f457,👗
u1f45c,👜
u1f45f,👟
u1f460,👠
u1f463,👣
u1f479,👹
u1f47a,👺
u1f47b,👻
u1f47d,👽
u1f47e,👾
u1f47f,👿
u1f480,💀
u1f48b,💋
u1f48c,💌
u1f48d,💍
u1f48e,💎
u1f490,💐
u1f493,💓
u1f494,💔
u1f495,💕
u1f496,💖
u1f497,💗
u1f498,💘
u1f499,💙
u1f49a,💚
u1f49b,💛
u1f49c,💜
u1f49d,💝
u1f49e,💞
u1f4a1,💡
u1f4a5,💥
u1f4a7,💧
u1f4a9,💩
u1f4aa,💪
u1f4ab,💫
u1f4ac,💬
u1f4ae,💮
u1f4af,💯
u1f4b8,💸
u1f4bb,💻
u1f4be,💾
u1f4bf,💿
u1f4c8,📈
u1f4c9,📉
u1f4ca,📊
u1f4cf,📏
u1f4da,📚
u1f4df,📟
u1f4e0,📠
u1f4e3,📣
u1f4e6,📦
u1f4f0,📰
u1f4f1,📱
u1f4f4,📴
u1f4f7,📷
u1f4fa,📺
u1f508,🔈
u1f50b,🔋
u1f50c,🔌
u1f50e,🔎
u1f512,🔒
u1f514,🔔
u1f525,🔥
u1f52c,🔬
u1f52e,🔮
u1f54a-ufe0f,🕊️
u1f570-ufe0f,🕰️
u1f573-ufe0f,🕳️
u1f577-ufe0f,🕷️
u1f587-ufe0f,🖇️
u1f58d-ufe0f,🖍️
u1f5a4,🖤
u1f5a8-ufe0f,🖨️
u1f5bc-ufe0f,🖼️
u1f5c3-ufe0f,🗃️
u1f5d1-ufe0f,🗑️
u1f5dd-ufe0f,🗝️
u1f5e3-ufe0f,🗣️
u1f5ef-ufe0f,🗯️
u1f5f3-ufe0f,🗳️
u1f5fc,🗼
u1f5ff,🗿
u1f600,😀
u1f601,😁
u1f602,😂
u1f603,😃
u1f604,😄
u1f605,😅
u1f606,😆
u1f607,😇
u1f608,😈
u1f609,😉
u1f60a,😊
u1f60b,😋
u1f60c,😌
u1f60d,😍
u1f60e,😎
u1f60f,😏
u1f610,😐
u1f611,😑
u1f612,😒
u1f613,😓
u1f614,😔
u1f615,😕
u1f616,😖
u1f617,😗
u1f618,😘
u1f619,😙
u1f61a,😚
u1f61b,😛
u1f61c,😜
u1f61d,😝
u1f61e,😞
u1f61f,😟
u1f620,😠
u1f621,😡
u1f622,😢
u1f623,😣
u1f624,😤
u1f625,😥
u1f626,😦
u1f627,😧
u1f628,😨
u1f629,😩
u1f62a,😪
u1f62b,😫
u1f62c,😬
u1f62d,😭
u1f62e,😮
u1f62e-u200d-u1f4a8,😮‍💨
u1f62f,😯
u1f630,😰
u1f631,😱
u1f632,😲
u1f633,😳
u1f634,😴
u1f635,😵
u1f636,😶
u1f636-u200d-u1f32b-ufe0f,😶‍🌫️
u1f637,😷
u1f641,🙁
u1f642,🙂
u1f642-u200d-u2194-ufe0f,🙂‍↔️
u1f642-u200d-u2195-ufe0f,🙂‍↕️
u1f643,🙃
u1f644,🙄
u1f648,🙈
u1f64c,🙌
u1f64f,🙏
u1f680,🚀
u1f682,🚂
u1f68c,🚌
u1f695,🚕
u1f697,🚗
u1f69a,🚚
u1f69c,🚜
u1f6a6,🚦
u1f6a7,🚧
u1f6a8,🚨
u1f6b2,🚲
u1f6cb-ufe0f,🛋️
u1f6cd-ufe0f,🛍️
u1f6d1,🛑
u1f6d2,🛒
u1f6df,🛟
u1f6e0-ufe0f,🛠️
u1f6e3-ufe0f,🛣️
u1f6f4,🛴
u1f6f6,🛶
u1f6f7,🛷
u1f6f8,🛸
u1f6f9,🛹
u1f6fc,🛼
u1f90d,🤍
u1f90e,🤎
u1f910,🤐
u1f911,🤑
u1f912,🤒
u1f913,🤓
u1f914,🤔
u1f915,🤕
u1f916,🤖
u1f917,🤗
u1f920,🤠
u1f921,🤡
u1f922,🤢
u1f923,🤣
u1f924,🤤
u1f925,🤥
u1f927,🤧
u1f928,🤨
u1f929,🤩
u1f92a,🤪
u1f92b,🤫
u1f92c,🤬
u1f92d,🤭
u1f92e,🤮
u1f92f,🤯
u1f937,🤷
u1f940,🥀
u1f941,🥁
u1f942,🥂
u1f945,🥅
u1f947,🥇
u1f948,🥈
u1f949,🥉
u1f94a,🥊
u1f94b,🥋
u1f94c,🥌
u1f94d,🥍
u1f94e,🥎
u1f94f,🥏
u1f950,🥐
u1f951,🥑
u1f952,🥒
u1f953,🥓
u1f954,🥔
u1f955,🥕
u1f957,🥗
u1f958,🥘
u1f959,🥙
u1f95b,🥛
u1f95c,🥜
u1f95d,🥝
u1f95e,🥞
u1f95f,🥟
u1f960,🥠
u1f962,🥢
u1f963,🥣
u1f964,🥤
u1f965,🥥
u1f966,🥦
u1f967,🥧
u1f968,🥨
u1f969,🥩
u1f96a,🥪
u1f96b,🥫
u1f96c,🥬
u1f96d,🥭
u1f96f,🥯
u1f970,🥰
u1f971,🥱
u1f972,🥲
u1f973,🥳
u1f974,🥴
u1f975,🥵
u1f976,🥶
u1f978,🥸
u1f979,🥹
u1f97a,🥺
u1f980,🦀
u1f981,🦁
u1f982,🦂
u1f984,🦄
u1f987,🦇
u1f988,🦈
u1f989,🦉
u1f98a,🦊
u1f98b,🦋
u1f98c,🦌
u1f994,🦔
u1f997,🦗
u1f999,🦙
u1f99a,🦚
u1f99d,🦝
u1f99e,🦞
u1f9a0,🦠
u1f9a5,🦥
u1f9a8,🦨
u1f9a9,🦩
u1f9aa,🦪
u1f9b4,🦴
u1f9b7,🦷
u1f9c0,🧀
u1f9c1,🧁
u1f9c2,🧂
u1f9c3,🧃
u1f9c4,🧄
u1f9c5,🧅
u1f9c6,🧆
u1f9c7,🧇
u1f9c8,🧈
