# shortcode,# animated,# emoji-ordering.txt,# group-variant,# emoticon,# tone-group
,,# © 2025 Google,,,
,,,,,
,,# Emoji Keyboard/Display Test Data for UTS #51,,,
,,# Version: 17.0,,,
,,,,,
,,# group: Smileys and emotions			,,,
,,# subgroup: smileys,,,
:smile:,1,1F600 ; fully-qualified # 😀 grinning face,,:D,
:smile-with-big-eyes:,1,1F603 ; fully-qualified # 😃 grinning face with big eyes,,:-D,
:grin:,1,1F604 ; fully-qualified # 😄 grinning face with smiling eyes,,^_^,
:grinning:,1,1F601 ; fully-qualified # 😁 beaming face with smiling eyes,,*^_^*,
:laughing:,1,1F606 ; fully-qualified # 😆 grinning squinting face,,X-D,
:grin-sweat:,1,1F605 ; fully-qualified # 😅 grinning face with sweat,,^_^;,
:joy:,1,1F602 ; fully-qualified # 😂 face with tears of joy,,>w<,
:rofl:,1,1F923 ; fully-qualified # 🤣 rolling on the floor laughing,,*>w<*,
:loudly-crying:,1,1F62D ; fully-qualified # 😭 loudly crying face,,;_;,
:wink:,1,1F609 ; fully-qualified # 😉 winking face,,;),
:kissing:,1,1F617 ; fully-qualified # 😗 kissing face,,:*,
:kissing-smiling-eyes:,1,1F619 ; fully-qualified # 😙 kissing face with smiling eyes,,^3^,
:kissing-closed-eyes:,1,1F61A ; fully-qualified # 😚 kissing face with closed eyes,,:**,
:kissing-heart:,1,1F618 ; fully-qualified # 😘 face blowing a kiss,,;*,
":heart-face:,:3-hearts:",1,1F970 ; fully-qualified # 🥰 smiling face with 3 hearts,,<3:),
:heart-eyes:,1,1F60D ; fully-qualified # 😍 smiling face with heart-eyes,,♥_♥,
:star-struck:,1,1F929 ; fully-qualified # 🤩 star-struck,,*_*,
:partying-face:,1,1F973 ; fully-qualified # 🥳 partying face,,(ﾉ◕ヮ◕)♬♪,
:melting:,1,1FAE0 ; fully-qualified # 🫠  melting face,,,
:upside-down-face:,1,1F643 ; fully-qualified # 🙃 upside-down face,,(:,
:slightly-happy:,1,1F642 ; fully-qualified # 🙂 slightly smiling face,,:) :-),
:happy-cry:,1,1F972 ; fully-qualified # 🥲 smiling face with tear,,":,)",
:holding-back-tears:,1,1F979 ; fully-qualified # 🥹 face holding back tears,,(；人；),
:blush:,1,1F60A ; fully-qualified # 😊 smiling face with smiling eyes,,,
:warm-smile:,1,263A FE0F ; fully-qualified # ☺️ smiling face,,,
:warm-smile:,1,263A ; non-fully-qualified # ☺ smiling face,,,
:relieved:,1,1F60C ; fully-qualified # 😌 relieved face,,,
:head-nod:,1,1F642 200D 2195 FE0F ; fully-qualified     # 🙂‍↕️ E15.1 head shaking vertically,,,
:head-nod:,1,1F642 200D 2195 ; minimally-qualified # 🙂‍↕ E15.1 head shaking vertically,,,
:head-shake:,1,1F642 200D 2194 FE0F ; fully-qualified     # 🙂‍↔️ E15.1 head shaking horizontally,,,
:head-shake:,1,1F642 200D 2194 ; minimally-qualified # 🙂‍↔ E15.1 head shaking horizontally,,,
:smirk:,1,1F60F ; fully-qualified # 😏 smirking face,,>~>,
:drool:,1,1F924 ; fully-qualified # 🤤 drooling face,,(¯﹃¯),
:yum:,1,1F60B ; fully-qualified # 😋 face savoring food,,,
:stuck-out-tongue:,1,1F61B ; fully-qualified # 😛 face with tongue,,:P :p :-P :-p ,
:squinting-tongue:,1,1F61D ; fully-qualified # 😝 squinting face with tongue,,>q<,
:winky-tongue:,1,1F61C ; fully-qualified # 😜 winking face with tongue,,;p,
:zany-face:,1,1F92A ; fully-qualified # 🤪 zany face,,,
:distorted-face:,,1FAEA ; fully-qualified     # 🫪 E17.0 distorted face,,,
:pensive:,1,1F614 ; fully-qualified # 😔 pensive face,,._.,
:pleading:,1,1F97A ; fully-qualified # 🥺 pleading face,,◕﹏◕ ,
:grimacing:,1,1F62C ; fully-qualified # 😬 grimacing face,,:-|,
:expressionless:,1,1F611 ; fully-qualified # 😑 expressionless face,,-_-,
:neutral-face:,1,1F610 ; fully-qualified # 😐 neutral face,,:|,
:mouth-none:,1,1F636 ; fully-qualified # 😶 face without mouth,,,
":face-in-clouds:,:lost:",1,1F636 200D 1F32B FE0F ; fully-qualified # 😶‍🌫️ face in clouds,,,
":dotted-line-face:, :invisible:",1,1FAE5 ; fully-qualified # 🫥 dotted line face,,,
:zipper-face:,1,1F910 ; fully-qualified # 🤐 zipper-mouth face,,:#,
,,,,,
,,# subgroup: smileys with hands,,,
:salute:,1,1FAE1 ; fully-qualified # 🫡 saluting face,,(・д・ゝ）,
:thinking-face:,1,1F914 ; fully-qualified # 🤔 thinking face,,=L,
:shushing-face:,1,1F92B ; fully-qualified # 🤫 shushing face,,(￣b￣),
:hand-over-mouth:,1,1FAE2 ; fully-qualified # 🫢 face with open eyes and hand over mouth,,,
":smiling-eyes-with-hand-over-mouth:, :chuckling:",1,1F92D ; fully-qualified # 🤭 face with hand over mouth,,,
:yawn:,1,1F971 ; fully-qualified # 🥱 yawning face,,~O~,
:hug-face:,1,1F917 ; fully-qualified # 🤗 hugging face,,\(^o^)/,
:peeking:,1,1FAE3 ; fully-qualified # 🫣 face with peeking eye,, (*/。＼) ,
:screaming:,1,1F631 ; fully-qualified # 😱 face screaming in fear,,@0@,
,,,,,
,,# subgroup: smileyes frowneys,,,
:raised-eyebrow:,1,1F928 ; fully-qualified # 🤨 face with raised eyebrow,,( ͝סּ ͜ʖ͡סּ),
:monocle:,1,1F9D0 ; fully-qualified # 🧐 face with monocle,,o~O,
:unamused:,1,1F612 ; fully-qualified # 😒 unamused face,,>->,
:rolling-eyes:,1,1F644 ; fully-qualified # 🙄 face with rolling eyes,,,
:exhale:,1,1F62E 200D 1F4A8 ; fully-qualified # 😮‍💨 face exhaling,,,
:triumph:,1,1F624 ; fully-qualified # 😤 face with steam from nose,,(((╬◣﹏◢))),
:angry:,1,1F620 ; fully-qualified # 😠 angry face,,X-(,
:rage:,1,1F621 ; fully-qualified # 😡 pouting face,,>:O,
:cursing:,1,1F92C ; fully-qualified # 🤬 face with symbols on mouth,,#$@!,
:sad:,1,1F61E ; fully-qualified # 😞 disappointed face,,,
":sweat:,:downcast:",1,1F613 ; fully-qualified # 😓 downcast face with sweat,,(0へ0),
:worried:,1,1F61F ; fully-qualified # 😟 worried face,,:S,
:concerned:,1,1F625 ; fully-qualified # 😥 sad but relieved face,,•_•',
:cry:,1,1F622 ; fully-qualified # 😢 crying face,,:'(,
:big-frown:,1,2639 FE0F ; fully-qualified # ☹️ frowning face,,:-(,
:big-frown:,1,2639 ; non-fully-qualified # ☹ frowning face,,:-(,
:frown:,1,1F641 ; fully-qualified # 🙁 slightly frowning face,,:(,
:diagonal-mouth:,1,1FAE4 ; fully-qualified # 🫤 face with diagonal mouth,,:/,
:slightly-frowning:,1,1F615 ; fully-qualified # 😕 confused face,,:-/,
:anxious-with-sweat:,1,1F630 ; fully-qualified # 😰 anxious face with sweat,,D-':,
:scared:,1,1F628 ; fully-qualified # 😨 fearful face,,D-:,
:anguished:,1,1F627 ; fully-qualified # 😧 anguished face,,,
:gasp:,1,1F626 ; fully-qualified # 😦 frowning face with open mouth,,D=,
:mouth-open:,1,1F62E ; fully-qualified # 😮 face with open mouth,,:O,
":surprised:,:hushed:",1,1F62F ; fully-qualified # 😯 hushed face,,:o,
