2025 Rank,[2025] Emoji,Rank Change from 2024,Shares Count,% of Total Shares,[2024] Top Emoji
1,😭,+3 ⬆️,"44,869,751",6.7424%,🤣
2,🤣,-1 ⬇️,"39,436,229",5.9259%,😂
3,😂,-1 ⬇️,"32,277,883",4.8502%,❤️
4,❤️,-1 ⬇️,"30,680,615",4.6102%,😭
5,🙏,+1 ⬆️,"19,553,228",2.9382%,😘
6,😘,-1 ⬇️,"18,710,910",2.8116%,🙏
7,🥰,0 ➡️,"13,968,956",2.0990%,🥰
8,😍,0 ➡️,"12,435,995",1.8687%,😍
9,😁,+1 ⬆️,"11,250,970",1.6906%,👍
10,👍,-1 ⬇️,"10,629,911",1.5973%,😁
11,🥺,+2 ⬆️,"10,379,638",1.5597%,♥️
12,♥️,-1 ⬇️,"9,239,791",1.3884%,😅
13,😅,-1 ⬇️,"8,016,590",1.2046%,🥺
14,😡,0 ➡️,"7,827,242",1.1762%,😡
15,🥹,+1 ⬆️,"7,148,546",1.0742%,😊
16,🤭,+4 ⬆️,"6,611,987",0.9936%,🥹
17,😔,0 ➡️,"6,113,742",0.9187%,😔
18,🔥,+5 ⬆️,"5,156,080",0.7748%,💋
19,😊,-4 ⬇️,"4,941,631",0.7426%,🎉
20,💋,-2 ⬇️,"4,823,075",0.7247%,🤭
21,🙄,+12 ⬆️,"4,456,077",0.6696%,🥳
22,💔,+25 ⬆️,"4,257,857",0.6398%,☺️
23,🖕,+9 ⬆️,"4,151,060",0.6238%,🔥
24,🤬,+11 ⬆️,"4,059,945",0.6101%,👏
25,🤍,+9 ⬆️,"4,000,712",0.6012%,😀
26,💗,+1 ⬆️,"3,997,148",0.6006%,🌹
27,☺️,-5 ⬇️,"3,909,768",0.5875%,💗
28,🥳,-7 ⬇️,"3,862,319",0.5804%,🤗
29,🌹,-3 ⬇️,"3,781,533",0.5682%,😄
30,🎉,-11 ⬇️,"3,655,123",0.5492%,🤔
31,🗿,+18 ⬆️,"3,471,150",0.5216%,😉
32,😀,-7 ⬇️,"3,466,143",0.5208%,🖕
33,👏,-9 ⬇️,"3,408,074",0.5121%,🙄
34,😄,-5 ⬇️,"3,354,992",0.5041%,🤍
35,🤔,-5 ⬇️,"3,354,761",0.5041%,🤬
36,🙏🏻,+16 ⬆️,"3,124,974",0.4696%,😞
37,🤗,-9 ⬇️,"3,118,861",0.4687%,😃
38,😆,+3 ⬆️,"3,077,202",0.4624%,💕
39,💕,-1 ⬇️,"2,866,497",0.4307%,😎
40,😞,-4 ⬇️,"2,853,882",0.4288%,🙂
41,😎,-2 ⬇️,"2,716,712",0.4082%,😆
42,✨,0 ➡️,"2,687,261",0.4038%,✨
43,😃,-6 ⬇️,"2,684,296",0.4034%,😋
44,💜,+22 ⬆️,"2,658,624",0.3995%,💖
45,😋,-2 ⬇️,"2,656,875",0.3992%,🎂
46,💖,-2 ⬇️,"2,627,660",0.3948%,🥲
47,😉,-16 ⬇️,"2,569,003",0.3860%,💔
48,🥲,-2 ⬇️,"2,539,998",0.3817%,😜
49,🙂,-9 ⬇️,"2,514,046",0.3778%,🗿
50,🤤,+7 ⬆️,"2,477,721",0.3723%,💀
51,🫣,+7 ⬆️,"2,455,196",0.3689%,🫶
52,🎂,-7 ⬇️,"2,435,256",0.3659%,🙏🏻
53,😏,+1 ⬆️,"2,425,490",0.3645%,😱
54,🩷,+10 ⬆️,"2,399,232",0.3605%,😏
55,🫂,+1 ⬆️,"2,395,414",0.3599%,💙
56,😱,-3 ⬇️,"2,365,697",0.3555%,🫂
57,🤲,+14 ⬆️,"2,356,797",0.3541%,🤤
58,😜,-10 ⬇️,"2,345,107",0.3524%,🫣
59,💙,-4 ⬇️,"2,344,155",0.3522%,🥵
60,🫶,-9 ⬇️,"2,290,396",0.3442%,🤩
61,🤨,+1 ⬆️,"2,235,979",0.3360%,💞
62,💞,-1 ⬇️,"2,231,911",0.3354%,🤨
63,😝,+15 ⬆️,"2,112,093",0.3174%,😈
64,👀,+12 ⬆️,"1,969,765",0.2960%,🩷
65,🫦,+3 ⬆️,"1,939,538",0.2914%,🙈
66,🥵,-7 ⬇️,"1,925,211",0.2893%,💜
67,🤪,+6 ⬆️,"1,901,444",0.2857%,💪
68,😈,-5 ⬇️,"1,898,787",0.2853%,🫦
69,🤮,+12 ⬆️,"1,894,404",0.2847%,💚
70,🖤,+7 ⬆️,"1,838,431",0.2763%,😢
71,🤩,-11 ⬇️,"1,837,743",0.2761%,🤲
72,💪,-5 ⬇️,"1,819,535",0.2734%,🎄
73,💚,-4 ⬇️,"1,799,245",0.2704%,🤪
74,😢,-4 ⬇️,"1,783,052",0.2679%,🫶🏻
75,❤️‍🩹,+5 ⬆️,"1,689,183",0.2538%,👌
76,😒,+13 ⬆️,"1,666,098",0.2504%,👀
77,💯,+6 ⬆️,"1,660,310",0.2495%,🖤
78,😚,+1 ⬆️,"1,643,019",0.2469%,😝
79,💩,+11 ⬆️,"1,638,005",0.2461%,😚
80,🫶🏻,-6 ⬇️,"1,612,642",0.2423%,❤️‍🩹
81,🙈,-16 ⬇️,"1,602,643",0.2408%,🤮
82,🤦,+10 ⬆️,"1,556,353",0.2339%,😻
83,😴,+8 ⬆️,"1,546,930",0.2324%,💯
84,💛,+26 ⬆️,"1,526,029",0.2293%,🥂
85,😌,+8 ⬆️,"1,503,231",0.2259%,🤫
86,💀,-36 ⬇️,"1,489,464",0.2238%,💓
87,👌,-12 ⬇️,"1,459,871",0.2194%,🙌
88,💓,-2 ⬇️,"1,458,277",0.2191%,☠️
89,🥶,+7 ⬆️,"1,434,081",0.2155%,😒
90,😇,+12 ⬆️,"1,430,967",0.2150%,💩
91,🥀,+99 ⬆️,"1,410,416",0.2119%,😴
92,🙃,+5 ⬆️,"1,399,177",0.2102%,🤦
93,🫠,+13 ⬆️,"1,380,100",0.2074%,😌
94,🙌,-7 ⬇️,"1,360,376",0.2044%,👍🏻
95,👍🏻,-1 ⬇️,"1,345,704",0.2022%,❣️
96,😑,+8 ⬆️,"1,341,056",0.2015%,🥶
97,🩵,+12 ⬆️,"1,331,696",0.2001%,🙃
98,😛,+26 ⬆️,"1,325,268",0.1991%,👋
99,😹,+36 ⬆️,"1,261,208",0.1895%,💐
100,🥴,0 ➡️,"1,240,363",0.1864%,🥴
101,🫡,+14 ⬆️,"1,240,278",0.1864%,😬
102,👋,-4 ⬇️,"1,237,236",0.1859%,😇
103,❣️,-8 ⬇️,"1,213,003",0.1823%,🎊
104,☹️,+14 ⬆️,"1,195,502",0.1796%,😑
105,🎊,-2 ⬇️,"1,193,067",0.1793%,🎁
106,😳,+5 ⬆️,"1,189,926",0.1788%,🫠
107,🖕🏻,+21 ⬆️,"1,160,223",0.1743%,😥
108,✌️,+15 ⬆️,"1,149,743",0.1728%,🍾
109,😓,+7 ⬆️,"1,135,989",0.1707%,🩵
110,🤫,-25 ⬇️,"1,127,155",0.1694%,💛
111,💐,-12 ⬇️,"1,123,444",0.1688%,😳
112,🥱,+5 ⬆️,"1,109,715",0.1668%,😐
113,😻,-31 ⬇️,"1,102,986",0.1657%,🗣️
114,😥,-7 ⬇️,"1,074,437",0.1615%,🤡
115,☠️,-27 ⬇️,"1,064,847",0.1600%,🫡
116,🗣️,-3 ⬇️,"1,049,923",0.1578%,😓
117,😬,-16 ⬇️,"1,042,621",0.1567%,🥱
118,💘,+4 ⬆️,"1,037,521",0.1559%,☹️
119,🤢,+11 ⬆️,"1,006,804",0.1513%,🇹🇷
120,💝,+5 ⬆️,"998,391",0.1500%,🌲
121,😐,-9 ⬇️,"995,084",0.1495%,🤑
122,😩,+7 ⬆️,"960,135",0.1443%,💘
123,😮‍💨,+10 ⬆️,"910,356",0.1368%,✌️
124,🇧🇷,+60 ⬆️,"900,553",0.1353%,😛
125,🫢,+13 ⬆️,"889,104",0.1336%,💝
126,✅,+14 ⬆️,"880,992",0.1324%,🍀
127,🫩,New,"877,327",0.1318%,❤️‍🔥
128,👹,+8 ⬆️,"868,562",0.1305%,🖕🏻
129,🎁,-24 ⬇️,"868,298",0.1305%,😩
130,👅,+47 ⬆️,"866,745",0.1302%,🤢
131,❤️‍🔥,-4 ⬇️,"860,299",0.1293%,😙
132,🎄,-60 ⬇️,"859,421",0.1291%,🧿
133,🤑,-12 ⬇️,"856,514",0.1287%,😮‍💨
134,😠,+9 ⬆️,"854,456",0.1284%,💥
135,🫰,+57 ⬆️,"847,967",0.1274%,😹
136,🧡,+20 ⬆️,"796,906",0.1197%,👹
137,🙏🏼,+2 ⬆️,"794,964",0.1195%,🎀
138,👁️,+14 ⬆️,"786,495",0.1182%,🫢
139,🍀,-13 ⬇️,"780,662",0.1173%,🙏🏼
140,😤,+2 ⬆️,"779,825",0.1172%,✅
